"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,10,0.6,1,2,231,1,0.35961605219416,0.930418002138543,-0.64038394780584,1.33120542272455,0.06,0.07
200,10,0.6,1,3,147,1,0.650076417157347,1.0811547409768,-0.349923582842653,1.19278970739647,0.46,0.22
200,10,0.6,1,4,106,1,0.72979420435143,1.18493259894452,-0.27020579564857,1.24609444495715,0.65,0.23
200,10,0.6,1,5,81,1,0.83301998518159,0.888130877334757,-0.16698001481841,0.907131893910166,0.79,0.23
200,10,0.6,1,6,64,1,0.956030429427076,0.726304553871618,-0.0439695705729245,0.72097483146927,0.83,0.25
200,10,0.6,1,7,52,1,0.788021801325009,0.687575245491829,-0.211978198674991,0.725634249750405,0.89,0.2
200,10,0.6,1,8,43,1,1.05922022037681,0.509434165199718,0.0592202203768069,0.507846858049198,0.9,0.35
200,10,0.6,1,9,36,1,0.920471535817298,0.452494194407385,-0.079528464182702,0.454294029078571,0.93,0.3
200,10,0.6,1,10,31,1,1.07504180694315,0.350618757723298,0.0750418069431524,0.352743842935359,0.96,0.4
200,10,0.6,1,11,26,1,1.01965898662395,0.470626292335177,0.0196589866239507,0.466306505166905,0.88,0.41
200,10,0.6,1,12,22,1,1.03648510182234,0.396896973622455,0.03648510182234,0.394259166541217,0.94,0.42
200,10,0.6,1,13,19,1,1.05565980123507,0.341899882379433,0.0556598012350733,0.341578897029166,0.94,0.47
200,10,0.6,1,14,16,1,0.933968971733181,0.297987023427653,-0.0660310282668187,0.29936724988735,0.94,0.37
200,10,0.6,1,15,14,1,1.05215125626055,0.258784379112542,0.0521512562605542,0.258916288850971,0.91,0.43
200,10,0.6,1,16,12,1,1.00972687771564,0.298201056864996,0.00972687771563696,0.295313658446441,0.93,0.47
200,10,0.6,1,17,10,1,0.995674849755423,0.229811550472883,-0.00432515024457725,0.227532141892792,0.96,0.45
200,10,0.6,1,18,8,1,0.98869310205095,0.215354836932874,-0.01130689794905,0.213329134504775,0.95,0.53
200,10,0.6,1,19,7,1,0.990053201127833,0.181608181372164,-0.00994679887216698,0.179891038366246,0.97,0.53
200,10,0.6,1,20,6,1,1.06247439292688,0.266052421622823,0.0624743929268838,0.267294947178177,0.91,0.6
200,10,0.6,1,21,4,1,0.964793155694948,0.157853996659535,-0.0352068443050522,0.157514978578859,0.98,0.57
200,10,0.6,1,22,3,1,0.885122275237913,0.23599523573873,-0.114877724762087,0.246832175027856,0.92,0.48
200,10,0.6,1,23,2,1,0.988069046418663,0.190703318749755,-0.0119309535813367,0.188938633215617,0.96,0.55
