"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
300,10,2,0.9,2,221,10,4.99557774736241,25.1480226791781,-5.00442225263759,49.9407845350806,0.12,0.09
300,10,2,0.9,3,137,10,6.96295763189098,20.7409838188098,-3.03704236810902,29.7572003263109,0.56,0.71
300,10,2,0.9,4,96,10,8.92691293274737,7.75357748546766,-1.07308706725263,8.82755756451783,0.72,0.92
300,10,2,0.9,5,71,10,8.98096519463401,9.81070243867912,-1.01903480536599,10.7510273488396,0.78,0.9
300,10,2,0.9,6,54,10,9.28044725389838,7.36611769408486,-0.719552746101622,7.8102126715664,0.79,0.93
300,10,2,0.9,7,42,10,9.52438215579915,3.42054598716751,-0.475617844200851,3.6125528610181,0.88,0.97
300,10,2,0.9,8,33,10,9.97222871416728,1.53581493690432,-0.0277712858327224,1.52122803185208,0.88,0.99
300,10,2,0.9,9,26,10,9.9844997646867,0.462779590153195,-0.0155002353133025,0.45839205154643,0.95,1
300,10,2,0.9,10,21,10,10.0540188185461,0.424490431852855,0.0540188185460568,0.423163560291438,0.92,1
300,10,2,0.9,11,16,10,10.0920953787273,0.470165159086399,0.0920953787272953,0.473945066278458,0.89,1
300,10,2,0.9,12,12,10,9.92628135776261,0.446754067069284,-0.0737186422373934,0.447720964611916,0.92,1
300,10,2,0.9,13,9,10,10.0107045106303,0.351594563761758,0.0107045106302621,0.348193204671974,0.93,1
300,10,2,0.9,14,6,10,10.0617754310728,0.463623646264716,0.0617754310727943,0.462803613686298,0.92,1
300,10,2,0.9,15,4,10,9.83778143854104,0.459600190513445,-0.162218561458964,0.481319050290126,0.91,1
300,10,2,0.9,16,2,10,9.97148956595144,0.463283719277985,-0.0285104340485614,0.459463726934843,0.93,1
