"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,5,0.4,2,2,461,10,5.33707137792355,29.6398775925583,-4.66292862207645,51.0863821512125,0.03,0.12
200,5,0.4,2,3,294,10,7.63377273919136,21.8528956871842,-2.36622726080864,27.2333981801064,0.5,0.75
200,5,0.4,2,4,211,10,8.92231541094666,14.1489881163068,-1.07768458905334,15.1689023086268,0.63,0.87
200,5,0.4,2,5,161,10,9.36305153986078,9.14776123698099,-0.636948460139221,9.46198696548491,0.77,0.92
200,5,0.4,2,6,127,10,9.88719167480428,4.31125490799874,-0.11280832519572,4.28086807715221,0.84,0.97
200,5,0.4,2,7,103,10,9.95496272637821,2.07447466943677,-0.0450372736217854,2.05575827875769,0.91,0.99
200,5,0.4,2,8,86,10,10.048495308583,2.2436073502521,0.0484953085830355,2.22352307170414,0.85,0.99
200,5,0.4,2,9,72,10,10.1536053137825,0.983147897968493,0.153605313782487,0.996911011411025,0.88,1
200,5,0.4,2,10,61,10,9.93614917173433,1.82444396324935,-0.063850828265668,1.81027645188707,0.92,0.99
200,5,0.4,2,11,51,10,10.0756428078204,0.949752335886916,0.0756428078203513,0.945976646902994,0.85,1
200,5,0.4,2,12,44,10,10.1941472756125,0.805668798933464,0.19414727561254,0.835305275571901,0.88,1
200,5,0.4,2,13,37,10,10.099366051255,0.89286288398079,0.0993660512549859,0.89380786728299,0.92,1
200,5,0.4,2,14,32,10,9.80932606994939,0.635196867090911,-0.190673930050606,0.665201446020945,0.93,1
200,5,0.4,2,15,27,10,10.0175126926608,0.643916989556194,0.0175126926607501,0.637784514064862,0.93,1
200,5,0.4,2,16,23,10,9.97200842857087,0.588478935540191,-0.0279915714291317,0.583377674255861,0.94,1
200,5,0.4,2,17,19,10,10.0718776021558,0.516685415280162,0.071877602155844,0.516684950819034,0.93,1
200,5,0.4,2,18,16,10,10.0659951193964,0.539781233598189,0.0659951193964066,0.538738777046353,0.91,1
200,5,0.4,2,19,13,10,9.97423387615094,0.621050679432609,-0.0257661238490616,0.615504065776488,0.89,1
200,5,0.4,2,20,11,10,9.90386952724437,0.412791956534735,-0.0961304727556271,0.417905104761608,0.94,1
200,5,0.4,2,21,8,10,9.94324887679302,0.386593100202911,-0.0567511232069791,0.385947859186135,0.95,1
200,5,0.4,2,22,6,10,9.98469344917667,0.329988582664429,-0.015306550823329,0.326922987335892,0.95,1
200,5,0.4,2,23,4,10,10.024231274806,0.391938125531525,0.0242312748059668,0.388605898954932,0.92,1
200,5,0.4,2,24,2,10,9.89413582203295,0.418909979179411,-0.105864177967055,0.425928103564257,0.88,1
