"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,13.3333333333333,0.4,2,2,173,10,4.58120578752053,25.023250470615,-5.41879421247947,54.1363486831098,0.03,0.09
200,13.3333333333333,0.4,2,3,111,10,7.88596380997107,19.2698769137346,-2.11403619002893,23.5463271573493,0.47,0.76
200,13.3333333333333,0.4,2,4,79,10,7.5859688105788,19.6652854762977,-2.4140311894212,25.296179205033,0.61,0.76
200,13.3333333333333,0.4,2,5,60,10,9.37517344703082,7.35231456700098,-0.62482655296918,7.66919964262633,0.79,0.94
200,13.3333333333333,0.4,2,6,48,10,9.82668526339953,2.24959625972943,-0.173314736600471,2.25713829505503,0.89,0.99
200,13.3333333333333,0.4,2,7,39,10,9.63574740376976,2.99805761551882,-0.364252596230237,3.1007569932241,0.94,0.98
200,13.3333333333333,0.4,2,8,32,10,9.98991829978161,1.23775734974908,-0.0100817002183913,1.22548141693089,0.9,1
200,13.3333333333333,0.4,2,9,27,10,9.92618372654001,0.990183026151663,-0.0738162734599932,0.985730038117667,0.93,1
200,13.3333333333333,0.4,2,10,23,10,9.85498282580214,1.81299635508005,-0.145017174197864,1.81589637234158,0.89,0.99
200,13.3333333333333,0.4,2,11,20,10,10.1347485622012,0.851574727661534,0.134748562201217,0.861216155400214,0.88,1
200,13.3333333333333,0.4,2,12,17,10,10.1017499012574,0.812458423143884,0.101749901257369,0.81468688131833,0.89,1
200,13.3333333333333,0.4,2,13,14,10,10.1745025005528,0.699135374128448,0.174502500552833,0.722595143086355,0.91,1
200,13.3333333333333,0.4,2,14,12,10,9.88218387091579,0.535929266146149,-0.117816129084215,0.544450613757075,0.96,1
200,13.3333333333333,0.4,2,15,11,10,9.95533604006398,0.680867144581338,-0.0446639599360168,0.676053342452691,0.89,1
200,13.3333333333333,0.4,2,16,9,10,9.96344778995525,0.456654376975721,-0.0365522100447482,0.453423897265119,0.98,1
200,13.3333333333333,0.4,2,17,8,10,9.93991142173676,0.457129400085525,-0.0600885782632368,0.456168743322367,0.95,1
200,13.3333333333333,0.4,2,18,6,10,10.0350614794038,0.355566662323152,0.0350614794037867,0.353240303037903,0.95,1
200,13.3333333333333,0.4,2,19,5,10,10.0272958284543,0.423159898595579,0.0272958284543297,0.419673361860632,0.93,1
200,13.3333333333333,0.4,2,20,4,10,9.91329529949069,0.445859793172783,-0.0867047005093085,0.448918900331464,0.92,1
200,13.3333333333333,0.4,2,21,3,10,9.90309450784384,0.498806240521025,-0.0969054921561554,0.503208852525842,0.92,1
200,13.3333333333333,0.4,2,22,3,10,9.86184980922939,0.428580814006329,-0.138150190770613,0.443380481076222,0.92,1
200,13.3333333333333,0.4,2,23,2,10,9.96697029498913,0.362663880378777,-0.0330297050108737,0.360128202988095,0.95,1
