"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,13.3333333333333,0.8,2,2,173,10,4.58147517387915,25.0214309411857,-5.41852482612085,54.1316279230618,0.03,0.13
200,13.3333333333333,0.8,2,3,111,10,7.88188233176413,19.2540653134182,-2.11811766823587,23.547947116777,0.48,0.76
200,13.3333333333333,0.8,2,4,79,10,7.58869579556097,19.6845273449814,-2.41130420443903,25.3020700378769,0.61,0.76
200,13.3333333333333,0.8,2,5,60,10,9.36962673623007,7.36341769810927,-0.630373263769929,7.68715397280413,0.79,0.94
200,13.3333333333333,0.8,2,6,48,10,9.82426457432844,2.25715741907456,-0.175735425671556,2.26546878471978,0.9,0.99
200,13.3333333333333,0.8,2,7,39,10,9.63443516177221,3.00131555744818,-0.365564838227792,3.1049400528222,0.95,0.98
200,13.3333333333333,0.8,2,8,32,10,9.9939096825804,1.22941775822382,-0.00609031741960031,1.21716067260786,0.89,1
200,13.3333333333333,0.8,2,9,27,10,9.92281663401743,1.00480005556482,-0.0771833659825667,1.00070932699357,0.93,1
200,13.3333333333333,0.8,2,10,23,10,9.85696530536929,1.82767249800705,-0.143034694630707,1.82985469689508,0.89,0.99
200,13.3333333333333,0.8,2,11,20,10,10.1298913817451,0.852090132128641,0.129891381745145,0.860441001859018,0.87,1
200,13.3333333333333,0.8,2,12,17,10,10.1034448966115,0.822389452668237,0.103444896611478,0.824866404776514,0.89,1
200,13.3333333333333,0.8,2,13,14,10,10.1786457961079,0.710394019352123,0.178645796107933,0.735204399625638,0.91,1
200,13.3333333333333,0.8,2,14,12,10,9.88511156868286,0.534402044059237,-0.114888431317135,0.542257375269157,0.96,1
200,13.3333333333333,0.8,2,15,11,10,9.95255842052974,0.698643883013261,-0.0474415794702612,0.693908147645761,0.88,1
200,13.3333333333333,0.8,2,16,9,10,9.95795072676358,0.470059715096148,-0.0420492732364206,0.467127259324898,0.98,1
200,13.3333333333333,0.8,2,17,8,10,9.93740801079554,0.46910952709394,-0.06259198920446,0.468336188935572,0.93,1
200,13.3333333333333,0.8,2,18,6,10,10.0487436330149,0.365063615649758,0.048743633014869,0.363788921252748,0.95,1
200,13.3333333333333,0.8,2,19,5,10,10.0243529489226,0.447374254075956,0.0243529489226457,0.443493577656425,0.94,1
200,13.3333333333333,0.8,2,20,4,10,9.90063965529506,0.463019256142538,-0.0993603447049374,0.468261541680997,0.94,1
200,13.3333333333333,0.8,2,21,3,10,9.89725846405259,0.527599049404252,-0.102741535947409,0.532878882119043,0.91,1
200,13.3333333333333,0.8,2,22,3,10,9.84809375516138,0.450595998321566,-0.151906244838615,0.469165545559319,0.92,1
200,13.3333333333333,0.8,2,23,2,10,9.97611223010017,0.36800228332792,-0.0238877698998294,0.364892886045428,0.96,1
