"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,8,0.2,1,2,288,1,0.517468986339985,1.14044310496611,-0.482531013660015,1.36187485306021,0,0.05
200,8,0.2,1,3,184,1,0.871593094383828,1.39493089747243,-0.128406905616172,1.39746992190763,0.54,0.32
200,8,0.2,1,4,132,1,0.894598832852698,0.795800428024071,-0.105401167147302,0.798951829779844,0.66,0.28
200,8,0.2,1,5,101,1,1.01985368009008,0.930254272306052,0.0198536800900833,0.92134589819611,0.8,0.31
200,8,0.2,1,6,80,1,1.08770712588922,0.74489006142981,0.0877071258892217,0.74513370074726,0.9,0.31
200,8,0.2,1,7,65,1,0.873945784807531,0.694731170674702,-0.126054215192469,0.703673524135744,0.86,0.27
200,8,0.2,1,8,54,1,0.93156809121127,0.50462398775869,-0.0684319087887295,0.504260674021572,0.91,0.26
200,8,0.2,1,9,45,1,1.08806090145661,0.54230379774634,0.088060901456612,0.544635482134228,0.89,0.37
200,8,0.2,1,10,38,1,1.05949187241726,0.404034648490997,0.0594918724172586,0.403533584889798,0.92,0.42
200,8,0.2,1,11,32,1,0.994377059552395,0.465113835977711,-0.00562294044760459,0.460494315077211,0.93,0.43
200,8,0.2,1,12,28,1,1.01992361769605,0.433642461912351,0.0199236176960516,0.429702987835326,0.91,0.43
200,8,0.2,1,13,24,1,0.903529190137439,0.333785064043487,-0.0964708098625612,0.339753830558591,0.92,0.38
200,8,0.2,1,14,20,1,1.05215698258278,0.238704241134195,0.0521569825827788,0.239037549554993,0.95,0.49
200,8,0.2,1,15,17,1,0.969627104493642,0.243021046473333,-0.0303728955063579,0.24151334879004,0.98,0.44
200,8,0.2,1,16,15,1,1.02335151392746,0.231801792861971,0.0233515139274574,0.230029068136055,0.95,0.48
200,8,0.2,1,17,12,1,0.974430923188285,0.221088371062041,-0.0255690768117153,0.219531265040424,0.95,0.52
200,8,0.2,1,18,10,1,1.01712723104132,0.210096749497698,0.0171272310413233,0.208289124045864,0.94,0.51
200,8,0.2,1,19,8,1,0.941186771630289,0.2392674167949,-0.0588132283697115,0.240333738458219,0.91,0.5
200,8,0.2,1,20,7,1,0.903627285109979,0.232701595190934,-0.0963727148900207,0.239662279414298,0.94,0.5
200,8,0.2,1,21,5,1,0.989341619473799,0.23267383839203,-0.0106583805262012,0.230460701083551,0.89,0.61
200,8,0.2,1,22,4,1,1.04485637166754,0.188664756893012,0.0448563716675381,0.188790203403258,0.96,0.65
200,8,0.2,1,23,3,1,0.922899097171109,0.175940173418824,-0.0771009028288915,0.180125320901665,0.95,0.61
200,8,0.2,1,24,2,1,0.925142721874759,0.209454989589699,-0.074857278125241,0.212964051782121,0.88,0.61
