"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,20,0.6,1,2,116,1,0.619206942255952,1.74168132796039,-0.380793057744048,1.86926786750685,0.08,0.12
200,20,0.6,1,3,74,1,0.606977110596646,1.11088298938316,-0.393022889403354,1.25424115108429,0.43,0.33
200,20,0.6,1,4,53,1,0.873216130229805,1.75134177512844,-0.126783869770195,1.74990250701107,0.57,0.33
200,20,0.6,1,5,41,1,0.930293223756738,0.955460322532391,-0.069706776243262,0.950764753961295,0.85,0.24
200,20,0.6,1,6,32,1,0.899070714526144,0.799899931891484,-0.100929285473856,0.802087653238833,0.83,0.26
200,20,0.6,1,7,26,1,0.846307976227915,0.7140844837971,-0.153692023772085,0.730564877130288,0.87,0.3
200,20,0.6,1,8,22,1,1.03208385094234,0.538281591647685,0.0320838509423358,0.533928149222498,0.89,0.34
200,20,0.6,1,9,18,1,1.03393646587611,0.404564703787781,0.0339364658761137,0.401670740466064,0.93,0.3
200,20,0.6,1,10,16,1,1.09824759101477,0.385388687183305,0.0982475910147729,0.391187389451678,0.92,0.33
200,20,0.6,1,11,13,1,1.08008257259812,0.572837709222809,0.0800825725981198,0.573522550564515,0.9,0.4
200,20,0.6,1,12,11,1,0.994689000972155,0.328972957756815,-0.00531099902784471,0.325711434889921,0.93,0.41
200,20,0.6,1,13,10,1,0.9730458951749,0.396388648262816,-0.0269541048250999,0.39315128554711,0.93,0.42
200,20,0.6,1,14,8,1,1.00542668853734,0.31178497984709,0.00542668853733952,0.308696578997101,0.94,0.44
200,20,0.6,1,15,7,1,1.01086728867435,0.332325663764752,0.0108672886743482,0.329120505090236,0.89,0.43
200,20,0.6,1,16,6,1,0.90542342170326,0.25144461215772,-0.0945765782967404,0.257874895198462,0.94,0.4
200,20,0.6,1,17,5,1,1.07463832706365,0.257620474415865,0.0746383270636546,0.260615149538567,0.87,0.5
200,20,0.6,1,18,4,1,1.02917362585797,0.233454778087275,0.0291736258579711,0.231971330752103,0.95,0.55
200,20,0.6,1,19,4,1,1.00845354005727,0.221109031627016,0.0084535400572685,0.218969403650246,0.92,0.56
200,20,0.6,1,20,3,1,1.00755198385744,0.298243666973967,0.00755198385743694,0.295318262764411,0.94,0.5
200,20,0.6,1,21,2,1,1.06217847711398,0.269452388103633,0.0621784771139844,0.270624027238811,0.95,0.52
200,20,0.6,1,22,2,1,1.02744269404912,0.270468894558578,0.027442694049119,0.268517307069665,0.95,0.58
