"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,40,0.2,1,2,58,1,0.540126064303398,1.13877475231114,-0.459873935696602,1.33887104152111,0.03,0.06
200,40,0.2,1,3,37,1,0.808855362680096,1.23759405007535,-0.191144637319904,1.26175438195076,0.5,0.25
200,40,0.2,1,4,27,1,0.776105470567077,0.853076294669692,-0.223894529432923,0.894674292032985,0.67,0.22
200,40,0.2,1,5,21,1,1.01341166928795,0.99980022672932,0.0134116692879453,0.989982097335116,0.83,0.28
200,40,0.2,1,6,16,1,0.868356841914266,0.711376491262675,-0.131643158085734,0.721592647420833,0.86,0.29
200,40,0.2,1,7,13,1,0.731540413634016,0.658779832460715,-0.268459586365984,0.724262583647903,0.82,0.26
200,40,0.2,1,8,11,1,1.00323034678169,0.429507986820348,0.00323034678168965,0.425223342092475,0.95,0.38
200,40,0.2,1,9,9,1,1.11505411855931,0.502808049646178,0.11505411855931,0.511017419347176,0.91,0.39
200,40,0.2,1,10,8,1,0.929543372098514,0.52732083821883,-0.0704566279014858,0.52701176625189,0.94,0.26
200,40,0.2,1,11,7,1,1.03531932913172,0.467416172987289,0.035319329131724,0.463989466267731,0.92,0.42
200,40,0.2,1,12,6,1,1.11758483545673,0.414587587456141,0.117584835456733,0.424267905110967,0.92,0.52
200,40,0.2,1,13,5,1,0.99429634000455,0.242187529390016,-0.00570365999544997,0.239798185833459,0.98,0.4
200,40,0.2,1,14,4,1,0.959206241046492,0.3502530639719,-0.0407937589535076,0.348414664101738,0.9,0.46
200,40,0.2,1,15,4,1,0.850551708094126,0.351725069923953,-0.149448291905874,0.370542611178297,0.91,0.31
200,40,0.2,1,16,3,1,1.03807073283178,0.227504362878325,0.0380707328317798,0.22667869994789,0.96,0.46
200,40,0.2,1,17,3,1,0.961784676450415,0.293702045769067,-0.0382153235495853,0.292225436265376,0.92,0.5
200,40,0.2,1,18,2,1,1.00829112228905,0.290284055727724,0.00829112228905249,0.287449957879259,0.94,0.58
200,40,0.2,1,19,2,1,0.930970926586898,0.201482223586182,-0.069029073413102,0.204232414326592,0.94,0.47
200,40,0.2,1,20,2,1,1.00569838950206,0.239412267651959,0.00569838950206325,0.237050616618356,0.95,0.59
