"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,4.44444444444444,0.2,1,2,518,1,0.44871501647406,1.30753300708372,-0.55128498352594,1.59837281007407,0.01,0.1
200,4.44444444444444,0.2,1,3,331,1,0.747382437367387,1.60426097936691,-0.252617562632613,1.65203400252368,0.38,0.3
200,4.44444444444444,0.2,1,4,237,1,1.04606018169704,1.32988176975111,0.0460601816970403,1.31870449239156,0.77,0.29
200,4.44444444444444,0.2,1,5,181,1,0.960087426936727,0.982825421760585,-0.0399125730632733,0.97459018103151,0.79,0.33
200,4.44444444444444,0.2,1,6,143,1,0.893160196335763,0.866377622576074,-0.106839803664237,0.869128589997326,0.78,0.22
200,4.44444444444444,0.2,1,7,116,1,0.812692574922877,0.804488044741732,-0.187307425077123,0.831527235783337,0.8,0.27
200,4.44444444444444,0.2,1,8,96,1,1.06837542370483,0.471156527075531,0.0683754237048282,0.47112016037159,0.9,0.36
200,4.44444444444444,0.2,1,9,81,1,1.10576974772395,0.502492154373291,0.105769747723946,0.508654472363145,0.84,0.45
200,4.44444444444444,0.2,1,10,68,1,1.05137298761672,0.345496593857889,0.0513729876167164,0.344680811775978,0.95,0.39
200,4.44444444444444,0.2,1,11,58,1,1.03193900278588,0.435331520111209,0.0319390027858799,0.431998304809053,0.91,0.4
200,4.44444444444444,0.2,1,12,49,1,0.986930906590532,0.357721385980032,-0.0130690934094682,0.354314973322778,0.9,0.35
200,4.44444444444444,0.2,1,13,42,1,1.01287774587222,0.328323885405265,0.0128777458722211,0.325206482889962,0.9,0.47
200,4.44444444444444,0.2,1,14,36,1,0.961646394190953,0.277575769705219,-0.0383536058090468,0.276271011086723,0.91,0.37
200,4.44444444444444,0.2,1,15,30,1,1.05478989799346,0.247974106107799,0.0547898979934609,0.248496297968855,0.94,0.58
200,4.44444444444444,0.2,1,16,26,1,0.980195760130207,0.215031838682116,-0.0198042398697929,0.213273728212115,0.96,0.5
200,4.44444444444444,0.2,1,17,22,1,0.929489991100802,0.335323453952914,-0.070510008899198,0.33694188076835,0.91,0.44
200,4.44444444444444,0.2,1,18,18,1,0.9317342572125,0.257324510238448,-0.0682657427875004,0.259411476774393,0.88,0.52
200,4.44444444444444,0.2,1,19,15,1,1.01190583139006,0.176565158184793,0.0119058313900551,0.174941255424033,0.97,0.62
200,4.44444444444444,0.2,1,20,12,1,1.03886006477862,0.230568522002173,0.0388600647786217,0.22977294141675,0.91,0.6
200,4.44444444444444,0.2,1,21,9,1,0.985815961573915,0.194268087495434,-0.0141840384260847,0.192526593566552,0.93,0.58
200,4.44444444444444,0.2,1,22,7,1,0.993841688011916,0.200763989078524,-0.0061583119880837,0.198794273994281,0.92,0.63
200,4.44444444444444,0.2,1,23,4,1,1.01713409873211,0.195969062765778,0.0171340987321074,0.194302949477482,0.92,0.62
200,4.44444444444444,0.2,1,24,2,1,0.925142721874759,0.209454989589699,-0.074857278125241,0.212964051782121,0.88,0.61
