"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,4,0.4,2,576,10,4.88287565869944,26.5021999233316,-5.11712434130056,52.422139448429,0,0.48
200,4,0.4,3,367,10,7.55441679002662,20.6752794001955,-2.44558320997338,26.4494038430973,0.52,0.74
200,4,0.4,4,263,10,9.26584301385103,7.8664334749707,-0.734156986148975,8.32675562053234,0.73,0.92
200,4,0.4,5,201,10,9.54346404414995,4.14334560849563,-0.456535955850047,4.31033723139459,0.85,0.96
200,4,0.4,6,159,10,9.633367821273,4.24903991221646,-0.366632178726999,4.34096866757241,0.85,0.96
200,4,0.4,7,129,10,9.9564111048539,1.32928975811572,-0.0435888951460957,1.31789685231462,0.84,0.99
200,4,0.4,8,107,10,9.82332176244179,1.25417540515383,-0.17667823755821,1.27284885072897,0.86,0.99
200,4,0.4,9,89,10,9.89007781884102,0.164719273280885,-0.109922181158982,0.175154966458824,0.92,1
200,4,0.4,10,76,10,10.0154036714312,0.184555216174427,0.0154036714312138,0.182946937106243,0.89,1
200,4,0.4,11,64,10,9.95251117183897,0.197272117681177,-0.0474888281610291,0.197554585304473,0.88,1
200,4,0.4,12,55,10,10.028387339368,0.119834651666903,0.0283873393680469,0.119442146186631,0.93,1
200,4,0.4,13,47,10,10.0217692785667,0.118771365281009,0.0217692785667332,0.118057553117515,0.94,1
200,4,0.4,14,40,10,9.91031815633013,1.10762531723174,-0.0896818436698741,1.10459189714345,0.92,0.99
200,4,0.4,15,34,10,9.9472376662603,0.0978811634422602,-0.0527623337397021,0.0996862156694973,0.93,1
200,4,0.4,16,29,10,9.94466383244116,0.110849317590639,-0.0553361675588366,0.112802915854832,0.92,1
200,4,0.4,17,24,10,9.9776897617004,0.104208813527509,-0.0223102382995997,0.103664472125219,0.94,1
200,4,0.4,18,20,10,9.98582065942482,0.0818369697574874,-0.0141793405751791,0.0812196537590594,0.94,1
200,4,0.4,19,16,10,10.0135958963751,0.105811479314103,0.0135958963750618,0.104938212919203,0.91,1
200,4,0.4,20,13,10,9.99260463948283,0.0707061096298868,-0.00739536051716883,0.0700537398907668,0.94,1
200,4,0.4,21,10,10,9.97065601965528,0.0892547607643346,-0.02934398034472,0.0892232823391625,0.89,1
200,4,0.4,22,7,10,10.0148510548778,0.0858774299089855,0.0148510548778216,0.0852392094408797,0.97,1
200,4,0.4,23,5,10,10.0178178306944,0.0739347837012253,0.0178178306943622,0.073512910954866,0.93,1
200,4,0.4,24,3,10,9.99168690103067,0.0916803199836765,-0.00831309896933163,0.0908326243983136,0.89,1
