"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,20,0.6,2,116,10,5.28513527500913,25.4845161625123,-4.71486472499087,47.4596203758505,0.02,0.53
200,20,0.6,3,74,10,6.82313061436244,22.8947197310206,-3.17686938563756,32.7582716271116,0.43,0.68
200,20,0.6,4,53,10,8.90555868036919,10.4511280607342,-1.09444131963081,11.5444185822421,0.7,0.89
200,20,0.6,5,41,10,9.62879667766185,4.50532976598669,-0.371203322338145,4.5980683748417,0.78,0.96
200,20,0.6,6,32,10,10.0054761618458,1.38511945413205,0.00547616184576505,1.37129824793929,0.89,0.99
200,20,0.6,7,26,10,9.86427439608868,2.441215743299,-0.135725603911323,2.4352250254231,0.8,0.98
200,20,0.6,8,22,10,9.90423855297545,1.46109136771497,-0.0957614470245467,1.45565070877406,0.85,0.99
200,20,0.6,9,18,10,9.98595946256014,0.382625637611942,-0.0140405374398558,0.378996517927422,0.87,1
200,20,0.6,10,16,10,9.84027010951017,1.26222400466544,-0.15972989048983,1.27511540253468,0.87,0.99
200,20,0.6,11,13,10,9.97601282635404,0.223503790912775,-0.0239871736459598,0.221844137503169,0.93,1
200,20,0.6,12,11,10,10.0108424592946,0.211307410604124,0.0108424592946239,0.209311895421638,0.91,1
200,20,0.6,13,10,10,10.0784279830088,0.18391811030978,0.0784279830087833,0.188229877725509,0.92,1
200,20,0.6,14,8,10,10.0484429465114,0.19304040856358,0.048442946511436,0.193456723544654,0.93,1
200,20,0.6,15,7,10,9.97751559248109,0.165085918241465,-0.0224844075189115,0.163940607640527,0.91,1
200,20,0.6,16,6,10,9.9792877439553,0.184704595353467,-0.0207122560447015,0.183286546950393,0.92,1
200,20,0.6,17,5,10,10.0272200218967,0.153913794466194,0.0272200218966692,0.153115586113587,0.95,1
200,20,0.6,18,4,10,9.98174116917122,0.149904546404072,-0.0182588308287777,0.148738885843265,0.92,1
200,20,0.6,19,4,10,10.0309807787586,0.132822589090123,0.0309807787586429,0.132454171851714,0.92,1
200,20,0.6,20,3,10,9.99726997921735,0.0883251223749004,-0.00273002078264994,0.0874493241646251,0.95,1
200,20,0.6,21,2,10,10.077599267227,0.120885331399696,0.0775992672270007,0.125698124359867,0.92,1
200,20,0.6,22,2,10,9.94411215701247,0.101262346755906,-0.0558878429875254,0.103373174282145,0.95,1
