"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,40,0.4,2,58,1,0.463106204900145,0.673340278743116,-0.536893795099855,0.95486182317241,0.01,0.39
200,40,0.4,3,37,1,0.768329585717884,0.676950585151716,-0.231670414282116,0.723852260153846,0.56,0.5
200,40,0.4,4,27,1,0.840911870739017,0.546256880308415,-0.159088129260983,0.56610334437709,0.59,0.49
200,40,0.4,5,21,1,1.04584038033574,0.429818376041341,0.0458403803357392,0.427621532750253,0.82,0.61
200,40,0.4,6,16,1,0.954789661689912,0.435864502117158,-0.0452103383100876,0.433549831786099,0.78,0.58
200,40,0.4,7,13,1,0.998735801178241,0.345906142912814,-0.00126419882175854,0.342448679682346,0.83,0.64
200,40,0.4,8,11,1,0.975927912280117,0.261731623268832,-0.0240720877198829,0.259693772443338,0.92,0.67
200,40,0.4,9,9,1,0.972891342613975,0.244851412177541,-0.0271086573860254,0.243137777361039,0.89,0.71
200,40,0.4,10,8,1,0.97514412622127,0.207794957975866,-0.0248558737787299,0.206334822857411,0.89,0.7
200,40,0.4,11,7,1,0.936032686009583,0.160664100864089,-0.0639673139904173,0.163149277114597,0.96,0.68
200,40,0.4,12,6,1,1.01919291391079,0.168839544356749,0.0191929139107909,0.167519516857568,0.87,0.81
200,40,0.4,13,5,1,0.966641947132427,0.153320351457841,-0.0333580528675728,0.152899907634378,0.88,0.77
200,40,0.4,14,4,1,1.03874849632044,0.110785492670458,0.038748496320445,0.111179083710849,0.91,0.9
200,40,0.4,15,4,1,1.03164687938932,0.11230145103897,0.0316468793893174,0.112179961503663,0.96,0.87
200,40,0.4,16,3,1,0.986559852773771,0.0948340292359083,-0.0134401472262291,0.0940663265010119,0.94,0.88
200,40,0.4,17,3,1,1.01767688261326,0.0776754829619435,0.0176768826132556,0.0772112003112469,0.94,0.94
200,40,0.4,18,2,1,0.997707133344536,0.0970707527535529,-0.00229286665546413,0.0961053024635171,0.96,0.9
200,40,0.4,19,2,1,1.05743832506176,0.0889189900477393,0.0574383250617576,0.0913289613331621,0.92,0.95
200,40,0.4,20,2,1,0.967836027112836,0.0814100299325296,-0.0321639728871638,0.0816304507850905,0.96,0.94
