"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,5,0.4,2,461,10,4.33238664157176,25.5187239052629,-5.66761335842824,57.3853778468446,0,0.43
200,5,0.4,3,294,10,7.17996681854198,20.6697582041078,-2.82003318145802,28.415647766591,0.48,0.72
200,5,0.4,4,211,10,8.36220977977119,14.9574364033548,-1.63779022022881,17.4902188447984,0.58,0.83
200,5,0.4,5,161,10,9.25207114778481,7.01107915526923,-0.747928852215191,7.50036593169247,0.71,0.93
200,5,0.4,6,127,10,9.61893139919612,3.13074170592049,-0.381068600803884,3.24464756737991,0.82,0.97
200,5,0.4,7,103,10,10.0243229988611,0.344746829331954,0.0243229988611002,0.341890969312232,0.84,1
200,5,0.4,8,86,10,9.98094578113643,0.230616630623731,-0.0190542188635732,0.228673527573994,0.92,1
200,5,0.4,9,72,10,9.8357640427133,1.14153376167266,-0.164235957286699,1.15709187372181,0.93,0.99
200,5,0.4,10,61,10,9.9906788734349,0.166169733284567,-0.00932112656510498,0.164594919352163,0.94,1
200,5,0.4,11,51,10,9.83378582138814,1.11113047984524,-0.166214178611858,1.12764632821841,0.9,0.99
200,5,0.4,12,44,10,10.0204663049657,0.148792295479632,0.0204663049656819,0.147723242163784,0.9,1
200,5,0.4,13,37,10,10.0058256926458,0.103570132361188,0.00582569264575383,0.102568369732379,0.96,1
200,5,0.4,14,32,10,9.99839574753035,0.123830341880071,-0.0016042524696509,0.122594612087257,0.92,1
200,5,0.4,15,27,10,9.9971368012001,0.108744312269954,-0.0028631987999006,0.107665067054622,0.94,1
200,5,0.4,16,23,10,9.96513677496799,0.117771488230249,-0.034863225032014,0.11780921780758,0.91,1
200,5,0.4,17,19,10,10.023151253776,0.10623756761203,0.0231512537760015,0.10571117248731,0.93,1
200,5,0.4,18,16,10,9.99902283318067,0.101870647743482,-0.000977166819330577,0.10085289612104,0.94,1
200,5,0.4,19,13,10,10.0445038805584,0.0686224242300352,0.04450388055837,0.0699167953724886,0.98,1
200,5,0.4,20,11,10,10.007687273298,0.0899101540597655,0.00768727329801777,0.0890701466899262,0.91,1
200,5,0.4,21,8,10,9.9794621572365,0.0702000350522382,-0.0205378427634955,0.0699198376870939,0.97,1
200,5,0.4,22,6,10,10.0017129776662,0.0818060120120611,0.00171297766619105,0.0809908861844254,0.92,1
200,5,0.4,23,4,10,9.96561850610285,0.0783654038805329,-0.0343814938971541,0.0787638369643276,0.93,1
200,5,0.4,24,2,10,10.0661967383247,0.0860106675794794,0.066196738324674,0.0895325690685099,0.89,1
