"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,10,0.8,2,231,10,4.57855450732868,25.6796359478249,-5.42144549267132,54.8149108183528,0.01,0.46
200,10,0.8,3,147,10,8.66935245430192,15.5161988198078,-1.33064754569808,17.1316597224821,0.53,0.84
200,10,0.8,4,106,10,8.43688759663183,14.5246528900489,-1.56311240336817,16.8227267467119,0.67,0.84
200,10,0.8,5,81,10,9.57365126632106,5.53173258867816,-0.426348733678942,5.65818850550102,0.81,0.95
200,10,0.8,6,64,10,9.44912137787659,4.36584666179869,-0.550878622123406,4.62565545149329,0.89,0.96
200,10,0.8,7,52,10,10.0790927796766,0.629833971358506,0.0790927796766283,0.629791299441897,0.9,1
200,10,0.8,8,43,10,10.0387631086423,0.490654220083069,0.0387631086422608,0.48725025647385,0.92,1
200,10,0.8,9,36,10,9.99867332841031,0.4597165847357,-0.00132667158968935,0.45512117894585,0.89,1
200,10,0.8,10,31,10,10.0037798638831,0.352144707124634,0.00377986388308926,0.348637547424362,0.9,1
200,10,0.8,11,26,10,9.93125284805355,0.369781469050362,-0.0687471519464484,0.370809825260606,0.91,1
200,10,0.8,12,22,10,10.0002648670303,0.251337166444517,0.000264867030265847,0.248823864934615,0.93,1
200,10,0.8,13,19,10,9.99008518567002,0.346994050478983,-0.00991481432998143,0.343622413517391,0.87,1
200,10,0.8,14,16,10,10.0188773597152,0.247935127682137,0.0188773597151535,0.245812131115131,0.92,1
200,10,0.8,15,14,10,9.98932835323944,0.242438602037133,-0.0106716467605565,0.240128100061344,0.92,1
200,10,0.8,16,12,10,10.0038015482951,0.206274260220634,0.00380154829512236,0.204225969387868,0.94,1
200,10,0.8,17,10,10,9.99288939435316,0.242572347356866,-0.00711060564683841,0.240197184595962,0.92,1
200,10,0.8,18,8,10,9.94638623022445,0.197627663362105,-0.0536137697755468,0.19852582303803,0.92,1
200,10,0.8,19,7,10,10.0428512582785,0.170250822496206,0.0428512582784677,0.170384544607292,0.9,1
200,10,0.8,20,6,10,10.0399887983722,0.185749491078111,0.0399887983721641,0.18549110016258,0.95,1
200,10,0.8,21,4,10,10.0274883733277,0.134089498197932,0.0274883733276923,0.133504213884156,0.94,1
200,10,0.8,22,3,10,9.98049218778786,0.145736793548735,-0.0195078122121402,0.144659980350552,0.94,1
200,10,0.8,23,2,10,10.0814784890923,0.166610954163499,0.0814784890923388,0.171583588806635,0.9,1
