"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,8,0.8,2,288,10,5.092654371937,25.7861461739039,-4.907345628063,49.6103258254339,0,0.51
200,8,0.8,3,184,10,6.87134508879202,23.4605882224002,-3.12865491120798,33.014463893602,0.42,0.68
200,8,0.8,4,132,10,8.516878287989,13.8671454506295,-1.483121712011,15.9281240087616,0.57,0.85
200,8,0.8,5,101,10,9.57977686563533,5.67425210549273,-0.420223134364672,5.79409706709307,0.82,0.95
200,8,0.8,6,80,10,9.77950869455202,3.72233178003624,-0.220491305447982,3.73372487801403,0.83,0.97
200,8,0.8,7,65,10,10.0354585373957,1.49363510775274,0.0354585373957317,1.47995606454945,0.85,0.99
200,8,0.8,8,54,10,9.89102963528354,2.51195074766293,-0.108970364716463,2.49870578057274,0.9,0.98
200,8,0.8,9,45,10,9.94087240952532,0.347432159717741,-0.0591275904746791,0.347453910075905,0.97,1
200,8,0.8,10,38,10,9.96398746181855,0.316084780240256,-0.0360125381814491,0.314220835344124,0.93,1
200,8,0.8,11,32,10,9.98479727720351,0.313409485582841,-0.0152027227964879,0.31050651350744,0.95,1
200,8,0.8,12,28,10,10.0867874236748,0.257242683870664,0.0867874236747994,0.262202313940066,0.98,1
200,8,0.8,13,24,10,9.98095969693379,0.261103518524072,-0.0190403030662072,0.258855016479685,0.91,1
200,8,0.8,14,20,10,9.95878320199477,0.297431979302517,-0.0412167980052338,0.296156483947296,0.91,1
200,8,0.8,15,17,10,9.96919768762394,0.260328931348714,-0.0308023123760641,0.258674424482939,0.94,1
200,8,0.8,16,15,10,9.95437053846238,0.213350691674655,-0.0456294615376223,0.213299232518122,0.91,1
200,8,0.8,17,12,10,10.0355012770223,0.196454800714961,0.0355012770222842,0.195750593378025,0.95,1
200,8,0.8,18,10,10,9.94928660037566,0.16270723701676,-0.0507133996243443,0.163652013548051,0.97,1
200,8,0.8,19,8,10,10.0023727444621,0.170564141414034,0.00237274446205227,0.168864129916176,0.94,1
200,8,0.8,20,7,10,10.0544976830731,0.181280150967522,0.0544976830730981,0.182437346918182,0.89,1
200,8,0.8,21,5,10,9.99798248194228,0.146497885681316,-0.00201751805771622,0.145036977203616,0.92,1
200,8,0.8,22,4,10,10.0428157562947,0.131226176695572,0.042815756294651,0.131747103915699,0.97,1
200,8,0.8,23,3,10,10.0378534654882,0.193216907308028,0.0378534654882099,0.192717623084415,0.92,1
200,8,0.8,24,2,10,9.99321869383723,0.167444732828053,-0.00678130616276817,0.165816271613046,0.92,1
