"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,5.71428571428571,0.6,2,403,1,0.429274803588775,0.597401649767145,-0.570725196411225,0.917154883088106,0.01,0.43
200,5.71428571428571,0.6,3,257,1,0.774374849083683,0.873940971363321,-0.225625150916317,0.916108270375699,0.55,0.45
200,5.71428571428571,0.6,4,184,1,0.84442177017337,0.687934225380441,-0.15557822982663,0.705259468722624,0.68,0.44
200,5.71428571428571,0.6,5,141,1,0.762833117497074,0.600318600922257,-0.237166882502926,0.650563545069192,0.84,0.39
200,5.71428571428571,0.6,6,111,1,0.937428146366929,0.519718173794073,-0.0625718536330713,0.518436228923211,0.81,0.48
200,5.71428571428571,0.6,7,91,1,0.96540281516035,0.367728345482768,-0.03459718483965,0.36524802722677,0.85,0.49
200,5.71428571428571,0.6,8,75,1,0.977988313469075,0.348651989808166,-0.0220116865309247,0.34564998425402,0.87,0.53
200,5.71428571428571,0.6,9,63,1,1.06003051503604,0.229394297267904,0.0600305150360407,0.230704017030717,0.91,0.59
200,5.71428571428571,0.6,10,53,1,1.02220536292828,0.236180545476719,0.0222053629282775,0.234311818164728,0.94,0.62
200,5.71428571428571,0.6,11,45,1,1.01641727645091,0.287374876855662,0.016417276450909,0.284770655053171,0.89,0.6
200,5.71428571428571,0.6,12,38,1,1.07914284955407,0.250061851834334,0.0791428495540747,0.25382482395153,0.89,0.69
200,5.71428571428571,0.6,13,33,1,1.01120030100545,0.171968920588483,0.0112003010054473,0.170374678125211,0.93,0.69
200,5.71428571428571,0.6,14,28,1,1.00535088158182,0.176645651662988,0.00535088158181796,0.174907827080061,0.94,0.71
200,5.71428571428571,0.6,15,24,1,0.897711586046896,0.214722550167172,-0.102288413953104,0.223038244294542,0.88,0.62
200,5.71428571428571,0.6,16,20,1,0.9465226625998,0.166026965059557,-0.0534773374002,0.167226521024376,0.94,0.67
200,5.71428571428571,0.6,17,17,1,0.981704493252534,0.126881148804024,-0.0182955067474658,0.125947062883131,0.93,0.77
200,5.71428571428571,0.6,18,14,1,0.989049540361391,0.152310485916179,-0.0109504596386091,0.150907293623314,0.95,0.81
200,5.71428571428571,0.6,19,12,1,0.979364298024901,0.142135562654581,-0.020635701975099,0.141140039224041,0.93,0.79
200,5.71428571428571,0.6,20,9,1,0.97407595876104,0.111687599210447,-0.0259240412389601,0.111242779132501,0.95,0.8
200,5.71428571428571,0.6,21,7,1,0.973362370338664,0.100546149974199,-0.0266376296613363,0.100250251788431,0.98,0.83
200,5.71428571428571,0.6,22,5,1,0.967501078971317,0.11539632589606,-0.0324989210286827,0.115298542505128,0.94,0.86
200,5.71428571428571,0.6,23,4,1,0.962223898353718,0.103711363547033,-0.0377761016462818,0.104101283767153,0.93,0.84
200,5.71428571428571,0.6,24,2,1,0.953399594493516,0.0976675786179478,-0.0466004055064838,0.0988625006251371,0.94,0.82
