"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
300,20,0.7,2,111,10,5.15180212071229,26.6497814552825,-4.84819787928771,49.8883063174595,0.01,0.51
300,20,0.7,3,69,10,6.75860153348391,23.2996841481115,-3.24139846651609,33.5733513253632,0.51,0.67
300,20,0.7,4,48,10,8.65713780839748,12.3326504721606,-1.34286219160252,14.0126028330745,0.64,0.87
300,20,0.7,5,36,10,9.49571147812209,5.53196040093992,-0.504288521877909,5.73094771022833,0.78,0.95
300,20,0.7,6,27,10,9.27669072062217,7.23462015337094,-0.723309279377828,7.68545026547131,0.77,0.93
300,20,0.7,7,21,10,9.93007833063852,1.40546886070093,-0.0699216693614773,1.39630321194021,0.88,0.99
300,20,0.7,8,17,10,9.99912814735766,0.392920435263714,-0.000871852642342574,0.388991991038107,0.91,1
300,20,0.7,9,13,10,9.7604216070174,2.39034830224441,-0.239578392982605,2.42384262560609,0.88,0.98
300,20,0.7,10,11,10,10.0684473051026,0.270377947563401,0.0684473051026409,0.272359201663581,0.94,1
300,20,0.7,11,8,10,10.0182873170081,0.294613261368531,0.0182873170081113,0.292001554718201,0.92,1
300,20,0.7,12,6,10,10.0567573435953,0.340615069048683,0.0567573435953364,0.340430314410195,0.86,1
300,20,0.7,13,5,10,10.0135096644791,0.27719098397206,0.0135096644790913,0.274601585166677,0.91,1
300,20,0.7,14,3,10,10.1128090332971,0.232145441157152,0.112809033297072,0.242549864739001,0.95,1
300,20,0.7,15,2,10,10.0195200932846,0.17824116454564,0.01952009328458,0.176839786942023,0.94,1
