"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,4,0.8,2,576,10,5.00070287183095,26.9604436574361,-4.99929712816905,51.6838109965811,0,0.49
200,4,0.8,3,367,10,7.85126188075612,18.3206761591062,-2.14873811924388,22.7545449026069,0.53,0.78
200,4,0.8,4,263,10,9.13633357691196,8.24223583048903,-0.863666423088045,8.90573316255383,0.73,0.92
200,4,0.8,5,201,10,9.20672405804752,9.10912557584058,-0.793275941952482,9.64732104016277,0.75,0.91
200,4,0.8,6,159,10,9.30894914354405,7.12797146649637,-0.691050856455952,7.53424303803991,0.85,0.93
200,4,0.8,7,129,10,9.93488828113461,0.545150002922787,-0.0651117188653902,0.543938038827165,0.88,1
200,4,0.8,8,107,10,9.63241723746476,3.43632381714031,-0.367582762535235,3.53707766628194,0.85,0.97
200,4,0.8,9,89,10,10.0630555668067,0.378042910798925,0.063055566806737,0.378238486196255,0.92,1
200,4,0.8,10,76,10,10.0526623148415,0.335464285093187,0.052662314841541,0.334882961646725,0.93,1
200,4,0.8,11,64,10,9.99749782942563,0.277075356234665,-0.00250217057436508,0.274310863529901,0.95,1
200,4,0.8,12,55,10,9.88659392015298,0.275094180431171,-0.113406079847024,0.285204177573129,0.93,1
200,4,0.8,13,47,10,10.1025295623895,0.199871931308564,0.10252956238951,0.208385523159263,0.93,1
200,4,0.8,14,40,10,9.99203746772248,0.224338632431135,-0.0079625322775172,0.222158648027095,0.91,1
200,4,0.8,15,34,10,9.93833625121102,0.243736877493665,-0.061663748788984,0.245101926633439,0.89,1
200,4,0.8,16,29,10,9.98690870850126,0.2326654614215,-0.0130912914987444,0.23051018872039,0.9,1
200,4,0.8,17,24,10,10.0168671902653,0.248457765333849,0.0168671902652893,0.246257689787956,0.92,1
200,4,0.8,18,20,10,9.99100296132015,0.198456281005625,-0.00899703867984591,0.196552664900575,0.93,1
200,4,0.8,19,16,10,9.8565709247824,0.192854218991445,-0.143429075217597,0.211497576419306,0.92,1
200,4,0.8,20,13,10,9.91540758071428,0.208810993762829,-0.0845924192857233,0.213878761225813,0.88,1
200,4,0.8,21,10,10,9.988137327273,0.168358553926413,-0.0118626727270055,0.166815691391377,0.93,1
200,4,0.8,22,7,10,10.0060150364908,0.15632709303931,0.00601503649080648,0.154800002772903,0.93,1
200,4,0.8,23,5,10,9.98992732506704,0.16655733936383,-0.0100726749329567,0.164993224750496,0.9,1
200,4,0.8,24,3,10,9.98171223281835,0.165140817607922,-0.0182877671816541,0.163823851860333,0.92,1
