"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,20,0.2,2,116,1,0.340757283840299,0.319639103409649,-0.659242716159701,0.751043671185173,0,0.43
200,20,0.2,3,74,1,0.659938721912221,0.324849422926267,-0.340061278087779,0.437242601551698,0.52,0.55
200,20,0.2,4,53,1,0.889166964772337,0.352569814921281,-0.110833035227663,0.361328078469844,0.68,0.68
200,20,0.2,5,41,1,0.842125081571091,0.224509220897578,-0.157874918428909,0.247188618557537,0.82,0.65
200,20,0.2,6,32,1,0.943876411128725,0.219180221945209,-0.0561235888712746,0.220138276953549,0.84,0.76
200,20,0.2,7,26,1,1.0182644187591,0.147812858975235,0.0182644187591012,0.14666831937809,0.9,0.82
200,20,0.2,8,22,1,0.954914382695956,0.0911298985135691,-0.0450856173040437,0.0922513124161201,0.93,0.88
200,20,0.2,9,18,1,1.00398050802007,0.110025458569005,0.00398050802007144,0.108941048427412,0.92,0.87
200,20,0.2,10,16,1,1.00506888422083,0.0995646562193513,0.00506888422083418,0.098594703244402,0.94,0.9
200,20,0.2,11,13,1,0.980096187785202,0.0907002178486402,-0.0199038122147979,0.0901893774108358,0.91,0.9
200,20,0.2,12,11,1,1.03209769696406,0.077873133273714,0.0320976969640587,0.0781246640913734,0.88,0.98
200,20,0.2,13,10,1,1.01427839773815,0.0787214990041363,0.0142783977381546,0.0781381566560639,0.93,0.96
200,20,0.2,14,8,1,0.981443775732399,0.0580341665861049,-0.0185562242676011,0.0577981583793134,0.93,0.98
200,20,0.2,15,7,1,1.01738727757608,0.0516811551084894,0.0173872775760768,0.0514666609789121,0.95,0.98
200,20,0.2,16,6,1,0.980237949561352,0.0568219789734809,-0.0197620504386476,0.0566442978212857,0.89,0.98
200,20,0.2,17,5,1,1.01997195363957,0.0429251004595034,0.0199719536395686,0.0428947283870894,0.94,1
200,20,0.2,18,4,1,1.0238536690655,0.0467080417487484,0.0238536690654987,0.0468099588591472,0.9,1
200,20,0.2,19,4,1,0.978926130481055,0.0460376084275666,-0.0210738695189453,0.0460213403197925,0.96,0.99
200,20,0.2,20,3,1,0.977900503718215,0.0433841747404072,-0.0220994962817852,0.0434387207289117,0.93,0.99
200,20,0.2,21,2,1,1.0085344639004,0.0421366310565091,0.00853446390040369,0.0417881018200113,0.95,1
200,20,0.2,22,2,1,0.971654177750995,0.0350364050653294,-0.0283458222490053,0.0354895266536483,0.96,1
