"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,10,0.6,2,231,1,0.41715477951991,0.736187370377922,-0.58284522048009,1.06853404771063,0,0.52
200,10,0.6,3,147,1,0.72210699531309,0.785223134974348,-0.27789300468691,0.854595425678524,0.44,0.46
200,10,0.6,4,106,1,0.828303938982774,0.82531669148522,-0.171696061017226,0.846543061939198,0.69,0.43
200,10,0.6,5,81,1,0.891990180224217,0.627170415006709,-0.108009819775783,0.632564832024639,0.78,0.44
200,10,0.6,6,64,1,0.997381836986941,0.488329420100402,-0.00261816301305862,0.483452980676961,0.83,0.51
200,10,0.6,7,52,1,0.958805556269291,0.454441350419824,-0.0411944437307087,0.451593919109908,0.89,0.51
200,10,0.6,8,43,1,0.993008762735204,0.377696792039324,-0.00699123726479634,0.373968701517423,0.89,0.5
200,10,0.6,9,36,1,0.94183864984464,0.333971278422191,-0.0581613501553596,0.334014308289863,0.91,0.52
200,10,0.6,10,31,1,1.03800517169488,0.333328469783173,0.0380051716948817,0.331439578160899,0.86,0.6
200,10,0.6,11,26,1,0.982403861560201,0.165183408106129,-0.0175961384397991,0.16384119811306,0.99,0.58
200,10,0.6,12,22,1,0.955001318643152,0.227328852849881,-0.0449986813568478,0.227080445645237,0.89,0.57
200,10,0.6,13,19,1,0.99960519437789,0.25762317789242,-0.000394805622109695,0.255047101984975,0.9,0.61
200,10,0.6,14,16,1,1.05569453340818,0.254133927170353,0.0556945334081795,0.254694468950204,0.89,0.69
200,10,0.6,15,14,1,0.934414281290721,0.184644203838974,-0.0655857187092793,0.187099248299197,0.93,0.66
200,10,0.6,16,12,1,0.92725392708748,0.147507637051406,-0.0727460729125194,0.151324551805085,0.93,0.67
200,10,0.6,17,10,1,1.00847925424613,0.147020078129511,0.00847925424613205,0.145621775100786,0.96,0.79
200,10,0.6,18,8,1,0.92717457937713,0.115025065081991,-0.0728254206228701,0.119178356320069,0.94,0.76
200,10,0.6,19,7,1,1.02915919854603,0.142043411683881,0.0291591985460329,0.14147323642689,0.91,0.82
200,10,0.6,20,6,1,0.973986486979161,0.148623603630617,-0.0260135130208389,0.147814070453996,0.95,0.77
200,10,0.6,21,4,1,0.987435092469355,0.10921145842165,-0.0125649075306445,0.108277220738687,0.94,0.83
200,10,0.6,22,3,1,1.03296689144484,0.12155454654513,0.0329668914448449,0.121425817011214,0.91,0.91
200,10,0.6,23,2,1,1.00108830776841,0.103993887466626,0.00108830776840541,0.102955133005758,0.93,0.85
